word	first_digraph	second_digraph
PANG		HY
PANIC	49	
PANT		F7
PANTHER		TO
PANTRY		Z7
PAPER		ZX
PAR		1H
PARCEL		V5
PARDON		KE
PARENT		FO
PARK	6V	
PARROT		1T
PARSON		1E
PART	5L	
PARTNER	Q0	
PARTY		JC
PASS		JI
PASSAGE		1Z
PAST	KZ	
PASTE	DF	
PASTEL		Q8
PASTURE		I3
PAT	U2	
PATCH	L1	
PATH		GY
PATROL	H0	
PATRON	KA	
PATTER	CO	
PAUSE	6B	
PAVE	R7	
PAW	V4	
PAWN		JX
PAY		IC
PEACH		G5
PEAK	VQ	
PEAL	UA	
PEARL	BP	
PECAN		DJ
PECK	/R	
PEEP		G3
PEG	BQ	
PELLET	DQ	
PELT	IM	
PEN	XV	
PERCH	2R	
PERFUME	1I	
PERK	C2	
PERSIST		OJ
PERTAIN	MD	
PEST	6K	
PESTER	FZ	
PET	I7	
PETAL	ND	
PHASE	0N	
PHONE	P3	
PICK	A6	
PIE	X/	
PIG	ZW	
PILE	PG	
PILL	AN	
PILOT	ML	
PIN	42	
PINCH	2K	
PINK	PQ	
PINT	RU	
PIP	7T	
PIPE	ET	
PIRATE	T4	
PISTON		PK
PIT	N6	
PITCH		AH
PITY	7C	
PLACE	5Y	
PLAID	MA	
PLAGUE	S/	
PLAID	DO	
PLAN	3/	
PLANET	RM	
PLANK		TZ
PLANT	2Z	
PLANTER	B6	
PLATE	L4	
PLAY	T6	
PLAYER	WV	
PLEA	YQ	
PLEAD	ZA	
PLEASE	QE	
PLEDGE	HC	
PLIGHT	NE	
PLOD	SG	
PLOP	KQ	
PLOW	K4	
PLUCK	I4	
PLUG	5A	
PLUME	WI	
PLUMP	2E	
PLUNGE	XQ	
PLUNGER		FT
PLUNK	TG	
PLUS	8N	
POACH	XA	
POCK	WO	
POCKET		VT
POD	M3	
POEM	2I	
POET	2L	
POISE	F3	
POKE	YQ	
POKER		WD
POLE	R2	
POLKA	RM	
POLO	2R	
POND	MW	
POOL	QQ	
POP	JO	
POPPY	T7	
PORCH	78	
PORK		XO
PORT	2V	
POSE	VJ	
POST	V/	
POSTAL	Y6	
POSTER	2Z	
POT	3D	
POUND	GB	
POUT	X3	
POWER	3G	
POX	LJ	
PRAISE	3L	
PRANCE	W7	
PRANK	J4	
PRAY	93	
PREACH	C7	
PREDICT	5Q	
PREFER	3U	
PRESS	35	
PRETTY	3Z	
PRICE	9M	
PRIDE	OL	
PRIEST	GO	
PRIM	72	
PRIME	34	
PRINCE	37	
PRINT	QR	
PRIZE	YG	
PROBE	K6	
PROD	RV	
PROF	VW	
PROFIT	RZ	
PROJECT	4E	
PROM	PC	
PROMPT	PX	
PRONE	TV	
PROOF	MZ	
PROP	UM	
PROSE	SU	
PROTEST	46	
PROUD	8Y	
PROVE	SN	
PROVOKE	52	
PROWL	9N	
PRUDE	IT	
PRUDENT	5L	
PRUNE	VA	
PRY	US	
PSALM	ZK	
PUFF	QD	
PUG	XD	
PULL	ZN	
PULP	OV	
PULSE	4X	
PUMP	99	
PUN	5B	
PUNCH	1C	
PUNK	6P	
PUNT	4Q	
PUP	4A	
PUPPET	UX	
PURE	5F	
PURGE	8B	
PURSE	7B	
PUSH	/Q	
PUSS	43	
PUT	/8	
PUZZLE	0H	
QUACK	TY	
QUAD	P4	
QUAIL	1T	
QUAKE	EC	
QUALM	1F	
QUARRY	4P	
QUART	GE	
QUARTER	LX	
QUARTET	I9	
QUAVER	HF	
QUEER	A2	
QUELL	UG	
QUENCH	NQ	
QUERY	MR	
QUEST	FQ	
QUEUE	GN	
QUID	EA	
QUILL	5W	
QUINCE	3G	
QUIP	PB	
QUIRK	K6	
QUIT	AY	
QUITE	DW	
QUIVER	LS	
QUIZ	07	
QUOTA	0R	
QUOTE	66	
RACE	C5	
RACK	3E	
RAFT	J8	
RAFTER	IQ	
RAGE	KM	
RAGGED	FZ	
RAID	CE	
RAIL		B7
RAIN	OJ	
RAISE	ZV	
RAKE		H/
RAMBLE		KX
RAMP		JP
RANCH		LQ
RANCHER		M0
RANGE	LL	
RANK	UM	
RANT		NN
RAP		OG
RAPID		HL
RAPTURE		G8
RASH		AK
RASP		GU
RAT	08	
RATE	09	
RATION	IA	
RATTLE		C6
RAVE	AI	
RAVEN		GK
RAW	MF	
RAY	64	
RAZE	32	
REACH	JD	
READ	IP	
REALM	LX	
REAM	E0	
REAP		CK
REBATE		76
REBEL	5C	
RECORD	18	
RED		BH
REEF	KW	
REGAL	GZ	
RELENT	UY	
RELIC	WK	
RENDER	BX	
RENT	JV	
REPRINT	EU	
REST	OB	
RETAIN	DH	
RETURN	B8	
REX	BI	
RHINE	CI	
RIB	KP	
RICE	K8	
RICH	MO	
RID	M9	
RIDE	A6	
RIDGE	EB	
RIFT	7Z	
RIG	/X	
RIM	P2	
RIND	TZ	
RING	/6	
RINGLET	2Y	
RINK	/D	
RINSE	FN	
RIOT	ZI	
RIP	/O	
RIPE	0B	
RIPPLE	R9	
RISK	HQ	
RITZ	V6	
RIVAL	Q5	
RIVER	3D	
ROAD	RZ	
ROAM	IX	
ROAR	VD	
ROAST	S8	
ROB	HV	
ROBE	XC	
ROCK	SF	
ROD	FY	
ROLLER	W2	
ROMPER	DZ	
ROOF	1M	
ROOK	KD	
ROOM	FF	
ROOT		EF
ROPE	9F	
ROSE	UB	
ROT	YP	
ROUGE	YD	
ROUGH	2O	
ROUTE	SL	
ROVE	ST	
ROW	XZ	
ROY	MW	
RUB	DT	
RUDE		EY
RUDDER		EP
RUFFLE		DN
RUG	X9	
RUM	GJ	
RUN	G6	
RUNT	OZ	
RUSH	0U	
RUST	VI	
RUSTIC	8E	
RUT	78	
RYE	QK	
SABLE	2H	
SACRED	2A	
SAD	2/	
SADDLE	ZX	
SAFE	XM	
SAG		BC
SAGE	JJ	
SAINT	8P	
SALAD		L6
SALMON		TX
SALT	TF	
SAM		IX
SAME	W5	
SAMPLE		RC
SAND		8D
SANE		XT
SAP	RG	
SASH		VH
SAT		MR
SATIN		ER
SAUCE		2K
SAUNTER		2D
SAVAGE		W2
SAVE	P0	
SAW		H5
SCAB		TR
SCALE		OK
SCALP	28	
SCAMP		NA
SCAMPER		G0
SCAN	3Z	
SCANDAL		JF
SCAR	VV	
SCARAB		LU
SCARCE	VO	
SCARE		K0
SCARF	M1	
SCAT	ZR	
SCATTER		4F
SCENE		WC
SCHEME		4I
SCHOOL		P1
SCOLD		VN
SCOOP		CY
SCOPE	V2	
SCORE	8S	
SCORN		OY
SCOT		Q7
SCOTCH	MQ	
SCOUT	18	
SCOWL		95
SCRAG		J/
SCRAM		I2
SCRAP	I2	
SCRATCH		ZZ
SCRAWL		Z8
SCREAM	SA	
SCREEN		IB
SCREW		IB
SCRIBE	8Z	
SCRIMP		1G
SCRIP		IN
SCROLL		2/
SCRUB		R4
SCRUBBY		27
SCRUPLE		23
SCUM		KF
SEAL		LC
SEARCH		I0
SEAT	RO	
SECRET	W/	
SECT		B0
SECURE	V0	
SEDAN		2Y
SEDATE		2T
SEED	3Q	
SEEK		NY
SEEP		U6
SEGMENT		KJ
SEIZE		2M
SELDOM		8V
SELECT	1E	
SELF		GQ
SELL		K2
SENATE	4L	
SEND		C8
SENSE	Q8	
SENTRY	JR	
SERB		9K
SERMON	YI	
SERPENT		MF
SERUM		3E
SERVANT		UE
SERVE	UV	
SET	Z7	
SETTER		Q0
SEVER		3J
SHABBY		D6
SHACK	XW	
SHAD	1Z	
SHADE	AB	
SHAFT	3I	
SHAG		RK
SHAKE	IU	
SHAKER		LG
SHALLOW		4N
SHAME	VL	
SHANK		HO
SHAPE		HJ
SHARE	Y0	
SHARK		98
SHARP	4W	
SHATTER	Y4	
SHAVE		GX
SHAWL		FW
SHED		0/
SHEEP	X6	
SHEET	S6	
SHELF	QX	
SHELL	AQ	
SHIEK		0G
SHIELD	42	
SHIFT	S6	
SHIM		F4
SHIN		N/
SHINE	90	
SHINGLE		KO
SHIP	TK	
SHIRK		J4
SHIVER	NV	
SHOCK		C9
SHOE	LV	
SHOOT		CC
SHOP	DQ	
SHORE	60	
SHOREHAM	P3	
SHORT		D0
SHORTEST		PT
SHOT		EI
SHOVE		FR
SHOW	B3	
SHOWER		FH
SHRIEK	H8	
SHRILL		ZM
SHRIMP	BF	
SHRUB	EI	
SHUFFLE	D0	
SHUT	A/	
SHY		WJ
SICK	/9	
SIDE	O4	
SIEGE	/B	
SIGH	K8	
SIGHT	LG	
SIGN	N7	
SIGNAL	J0	
SIGNET		B2
SILENT	U3	
SIN	/L	
SINGER	UK	
SINGLE	RW	
SINK	C9	
SIP	/Z	
SIR		QG
SIS		YT
SIT		0C
SIZE		W0
SIZZLE		G4
SKATE	DW	
SKETCH	6A	
SKEW		TL
SKI		0L
SKID	BT	
SKILL		0P
SKIM		TA
SKIN		0W
SKIP		5A
SKIRT		DI
SKULL	4X	
SKY		JR
SLAB	04	
SLACK	DC	
SLAIN		I8
SLAM		RU
SLANG		/B
SLANT	OP	
SLAP		03
SLASH	52	
SLAT	10	
SLATE		1L
SLAVE	WM	
SLED		AA
SLEEK		PI
SLEEP		AY
SLEET	QD	
SLEEVE		FM
SLENDER		QM
SLICE		FD
SLICK	TX	
SLIDE		H9
SLIGHT		7F
SLIM		/L
SLING		DF
SLINK		L/
SLIP	7U	
SLIT	HF	
SLOGAN	Q/	
SLOP	R4	
SLOT		IG
SLOUCH		HB
SLOW		BP
SLUG		ZF
SLUM	0M	
SLUMBER		X2
SLUMP		GC
SLUSH	EQ	
SLY	XG	
SMACK		9R
SMALL	6G	
SMART		7N
SMASH	CA	
SMEAR		JM
SMELL		AR
SMILE		SL
SMITH		YO
SMOCK	86	
SMOKE	CV	
SMOOCH		O4
SMUDGE		3P
SMUG	Z3	
SNACK		M8
SNAG		ZI
SNAIL		EI
SNAKE	YY	
SNAP		N4
SNAPPER		XC
SNATCH		GM
SNEAK	FG	
SNEER		EM
SNEEZE	L4	
SNICKER	ZC	
SNIP		JW
SNOB		HG
SNOOD	8A	
SNOOZE		KV
SNORT		DL
SNOW	1V	
SNUB		PE
SNUFF	GD	
SNUG		WQ
SOAK		E4
SOAP		HZ
SOB		QV
SOBER	YA	
SOCIAL		UN
SOCK	2Q	
SOCKET	40	
SOD		/E
SOFA	F9	
SOFT	E9	
SOIL		NM
SOLD		D/
SOLID		QZ
SOLO		48
SONG		9X
SONNET		5H
SOON		5E
SOOT		/R
SOP		VV
SORE		16
SORRY	K/	
SOUL		KB
SOUP	/T	
SOUR	O9	
SPACE	NI	
SPADE	HY	
SPAN		EL
SPANK	PY	
SPAR		K7
SPARE		S3
SPARK		BX
SPARKLER		OR
SPATTER	T8	
SPAWN	II	
SPEAK	6R	
SPEAKER		3S
SPEAR	IN	
SPECK		30
SPEECH	FT	
SPEED	9H	
SPELL		/Y
SPEND		4A
SPHERE	G8	
SPHINX	K2	
SPICE	I6	
SPIKE		/U
SPILL		50
SPIN	MC	
SPINDLE		5Q
SPINNER		78
SPITE		ED
SPLASH	82	
SPLICE	PE	
SPLINT		F/
SPLIT	ON	
SPLOTCH		V4
SPOIL		UV
SPOKE		UT
SPONGE		5U
SPOOK		R9
SPOON		4R
SPORT		5M
SPOT		/J
SPOUSE		HT
SPOUT		/5
SPRAIN		5Y
SPRAT		55
SPRAY	JZ	
SPREAD		6B
SPREE	QI	
SPRIG		/0
SPRING	9V	
SPRINTER	HM	
SPRITE		NR
SPRUCE		T0
SPRY		JK
SPUD		Y/
SPUN	I6	
SPUNK		6/
SPUR		08
SPURN		3W
SPY	XN	
SQUAB		6E
SQUALL	JA	
SQUARE	KI	
SQUASH		MK
SQUAW		U0
SQUEAK	5P	
SQUEAL		VD
SQUEEZE		66
SQUELCH	PN	
SQUID		6Z
SQUINT		YE
SQUIRM		58
SQUIRT		WU
STAB	AF	
STACK		06
STAFF		7C
STAG		8A
STAGE	48	
STAIN		PM
STAIRCASE	IE	
STAKE	95	
STALE	8J	
STALK		IJ
STAMP		6H
STAND		63
STAR	8J	
STARCH	QP	
STARE	7N	
STARK		O/
STATE	4G	
STAY		T4
STEADY		6V
STEAM	80	
STEED		0Z
STEEL		Y8
STEEP		YC
STEEPLE		ZT
STEER	24	
STEM		XX
STEP		X9
STERN	/I	
STEW		6L
STICK	WX	
STILT	YK	
STIR		6R
STITCH	PI	
STOCK	Y2	
STOLE	3L	
STONE		XI
STOOGE	1J	
STOOL		MY
STOP	UF	
STORK	U6	
STOUT		8F
STOVE		31
STRAIGHT		P8
STRAIN		L1
STRAP	NA	
STRAW		LM
STREAM		60
STREET	ZO	
STRIDE		/2
STRIKE	4C	
STRING		10
STRIP	WA	
STRIPE		GG
STRIVE	RE	
STROKE	37	
STROLL	OE	
STRONG	EI	
STROP		68
STUB		RO
STUD	Z0	
STUMBLE		SR
STUMP		36
STUNG		OC
STUNT	WQ	
STURDY		NH
STUTTER		8I
SUDDEN		80
SUMMER		8C
SURE	X2	
SURF	P5	
SWAB	XP	
SWAG		/O
SWAIN		18
SWARM		1X
SWAY		12
SWEAT	OX	
SWEET		87
SWELL		8L
SWEPT		7W
SWIFT		82
SWILL		9D
SWING		8Y
SWISH		8P
SWITCH		51
SWOON		5K
SWOOP		70
SWORD	90	
SWORE	75	
TAB	0Y	
TABLE		1F
TACK		/D
TACT		1J
TAD		20
TAG		RX
TAINT		UQ
TALE		VR
TALK		0J
TALL		WX
TALON		89
TAM		0N
TAME		9I
TAN		9V
TANDEM		4P
TANK		05
TAP	17	
TAPE		/N
TAR		89
TARDY		8U
TARGET		8R
TART		/4
TARTAR		25
TASK	CH	
TASSEL		3G
TASTE		3I
TAT		3N
TAUT		2I
TAXI		4D
TEA		BK
TEACH		1Q
TEAK		WF
TEAL		YL
TEAR		0E
TEASE		8X
TED	RS	
TELL		0Y
TEMPLE	H2	
TEN		HE
TEND		/H
TENDER	JU	
TENSE		TI
TENT		YW
TERM		2B
TERSE		3V
TEST		33
TEXT	2G	
THANK	TN	
THAT		MC
THATCH		39
THAW		CN
THEFT		PW
THEME		LK
THEN		0U
THENCE		FK
THICK		C4
THIGH	/2	
THIN	3P	
THINE	2L	
THINK		73
THIRD		9F
THIS	1H	
THONG	R6	
THORN		W6
THRALL		2P
THRASH		DB
THREAD	5T	
THREE		86
THRESHER		WN
THREW	H3	
THRICE	6W	
THRIFT		XL
THRIFTY		8N
THRILL		RF
THROB	JB	
THRIVE		IV
THROAT	DJ	
THRONE		SA
THRONG		G2
THROTTLE		TH
THROW	EM	
THRUST		1V
THUD	P8	
THUG	BL	
THUMB		GT
THUMP	2X	
THUNDER	KE	
THWART	/H	
TIDE		7K
TIE		XZ
TIFF		FB
TIGER	Q7	
TIGHT		AF
TILE	80	
TILL	T3	
TILT		DU
TIMBER	MK	
TIME		CG
TIN	HI	
TING		NF
TINGE	E5	
TINK		UB
TINT		AU
TIP	QB	
TIRE		Q3
TITHE		RR
TITLE		QB
TOAD		EB
TOAST	FC	
TOD		MO
TOE		9M
TOG		9A
TOIL	JN	
TOKEN	58	
TOLL	N0	
TOM		EU
TOMB	FJ	
TON	7G	
TONE	45	
TONG	GN	
TONGUE	LE	
TOOL	KL	
TOOT	C4	
TOOTH		8K
TOP		UI
TOPPER	W4	
TORCH	IL	
TORE	QG	
TORT		HR
TOSS		ON
TOT		YD
TOTE		08
TOUCH	VZ	
TOUGH	7K	
TOW		97
TOWN		X6
TOY	YS	
TRACE		SZ
TRACK		SH
TRACT	VF	
TRAGIC		5T
TRAIL		92
TRAIN	O6	
TRAM	AL	
TRAMP	Z6	
TRANCE		Y2
TRAP		DP
TRASH	M5	
TRAVEL	U8	
TRAY	NP	
TREAD	W7	
TREAT	J7	
TREE		5W
TREK		0R
TRENCH		2W
TREND	YW	
TRESS	VR	
TRIAL		NV
TRIBE		N8
TRICK		/T
TRILL		65
TRIM		9/
TRINKET		60
TRIO		6Q
TRIP	WF	
TRIPE		6D
TRIPLE		8E
TRITE		7E
TROD		/W
TROPIC		6U
TROT	Y7	
TROY	ZE	
TRUCE	F2	
TRUDGE		6G
TRUE	9R	
TRUMP	8H	
TRUNK	XE	
TRUST	G4	
TRUTH		V2
TRY	RL	
TUB	34	
TUBE		SO
TUCK		/7
TUFT		6K
TUG		/1
TUMBLE		6Y
TUNNEL	GG	
TURF	3H	
TURK		57
TURRET		50
TURTLE		53
TUSK		81
TUT		IE
TUTOR		4L
TWANG	OM	
TWEAK		44
TWEED		00
TWELVE		5J
TWILL		4T
TWIN		5D
TWINE		4Z
TWIRL		47
TWITCH	0D	
TYPE	KY	
ULTRA	FB	
UNDER	6J	
UNIQUE	4Y	
UNIT	14	
UP	AP	
UPSET	MI	
URBAN	05	
URGE	61	
US	7/	
USE	CP	
VACANT	D8	
VAGUE	EL	
VALET		3H
VALOR	LK	
VALVE		BY
VANDAL		TP
VANISH		PQ
VAPOR		KU
VASE	IF	
VAST	J3	
VAT	A2	
VAULT	F8	
VEAL	/5	
VEIN	7A	
VELVET	GS	
VENT	T6	
VENUS	30	
VERB	NF	
VERGE	D5	
VERSE		WT
VESSEL		O3
VEST	JG	
VET		KZ
VEX	LC	
VICE	XT	
VIEW		H7
VIGIL	NX	
VIM		M9
VINE		J6
VIRTUE	1P	
VOGUE		CV
VOID	0Q	
VOLT	RB	
VOTE	PH	
VOW	2D	
WAD	SC	
WADE		T7
WAFER	W9	
WAG	UI	
WAGE		XP
WAIF		LN
WAIT		00
WAKE		AW
WALK		NC
WALL		3T
WALT	25	
WALTZ		2J
WAND	OF	
WANT	UI	
WAR		2F
WARD		XH
WARN		MP
WARP		WH
WART		KQ
WASH	YM	
WASP	A5	
WATCH	C/	
WATER		BR
WATT		M4
WAVES	P8	
WAX	BC	
WEALTH		QX
WEARY	/W	
WEAVE		AM
WEB		8G
WED		QR
WEDGE		FB
WEED		N2
WEEP		V8
WEIRD	I0	
WELCH	LW	
WELL		EN
WELT	GX	
WENCH	PA	
WEND	TH	
WENT	5J	
WEPT	NS	
WEST	30	
WET		D4
WHALE	Z1	
WHANG	94	
WHARF		HW
WHAT	B5	
WHEAT	IW	
WHEEL		PB
WHELM		H4
WHELP		CZ
WHERE		WY
WHIFF		TM
WHIG		IL
WHIM	YF	
WHINE	RI	
WHIP	Y9	
WHIRL	JY	
WHISK		32
WHISTLER	HB	
WHITE	5Z	
WICK		9Z
WICKED		35
WIDE	L9	
WIELD	WW	
WIFE		V0
WIG		YA
WILD	8V	
WILL	PP	
WILLOW		LY
WIN	SN	
WIND	MP	
WINE		4B
WING	/E	
WINK		P9
WINTER		4V
WIPE		96
WIRE		40
WISE		OP
WISH		5/
WISP	XI	
WIT		DH
WITCH		8S
WITH	Q2	
WOLF		JH
WOOD		/A
WORK		RG
WORLD		PL
WORM		4H
WOW		5G
WRECK		FQ
WRONG	0I	
YACHT	K5	
YALE		IR
YAM		I1
YANK		I8
YANKEE		KD
YAP		JZ
YARN	QM	
YAWN		JT
YEARLY	MB	
YEARN		JL
YEAST	4U	
YELP		HI
YEN		A5
YES	6N	
YET	PU	
YIELD		GW
YOKE	GA	
YOUTH	EP	
YOWL		N4
ZEAL	9S	
ZEST	TQ	
ZINC	AU	
ZIP	C3	
ZIPPER	0X	
ZONE	HL	
ZOO		7R
